user_id,signup_time,purchase_time,purchase_value,device_id,source,browser,sex,age,ip_address,product_id,product_name,product_link
22058,24-02-2015 22:55,18-04-2015 02:47,34.0,QVPSPJUOCKZAR,SEO,Chrome,M,39,43.173.1.96,B00PVT30YI,"Kitchen Mart Stainless Steel South Indian Filter Coffee Drip Maker, Madras Kappi, Drip Decotion Maker160ml (2 Cup)",https://www.amazon.in/Kitchen-Stainless-Indian-Filter-Coffee/dp/B00PVT30YI/ref=sr_1_128?qid=1672923597&s=kitchen&sr=1-128
333320,07-06-2015 20:39,08-06-2015 01:38,16.0,EOGFQPIZPYXFZ,Ads,Chrome,F,53,20.225.83.219,B0B3JSWG81,NGI Store 2 Pieces Pet Hair Removers for Your Laundry Catcher Lint Remover for Washing Machine Lint Remover Reusable Portable Silica Gel Clothes Washer Dryer Floating Ball,https://www.amazon.in/Hair-Removers-Laundry-Remover-Reusable/dp/B0B3JSWG81/ref=sr_1_501?qid=1672923617&s=kitchen&sr=1-501
1359,01-01-2015 18:52,01-01-2015 18:52,15.0,YSSKYOSJHPPLJ,SEO,Opera,M,53,156.64.132.28,B091JF2TFD,Boult Audio BassBuds Oak in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Brown),https://www.amazon.in/Boult-Audio-BassBuds-Oak-Earphones/dp/B091JF2TFD/ref=sr_1_302?qid=1672903010&s=computers&sr=1-302
150084,28-04-2015 21:13,04-05-2015 13:54,44.0,ATGTXKYKUDUQN,SEO,Safari,M,41,228.234.6.236,B01LY9W8AF,"Cello Eliza Plastic Laundry Bag/Basket, 50 litres, Light Grey",https://www.amazon.in/Plastic-Laundry-Basket-Light-Grey/dp/B01LY9W8AF/ref=sr_1_314?qid=1672923607&s=kitchen&sr=1-314
221365,21-07-2015 07:09,09-09-2015 18:40,39.0,NAUITBZFJKHWW,Ads,Safari,M,45,24.197.75.141,B0756K5DYZ,Prestige Iris 750 Watt Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar (White and Blue),https://www.amazon.in/Prestige-Iris-Grinder-Stainless-Juicer/dp/B0756K5DYZ/ref=sr_1_132?qid=1672923597&s=kitchen&sr=1-132
159135,21-05-2015 06:03,09-07-2015 08:05,42.0,ALEYXFXINSXLZ,Ads,Chrome,M,18,167.114.191.128,B01M0505SJ,Orient Electric Apex-FX 1200mm Ultra High Speed 400 RPM Ceiling Fan (Brown),https://www.amazon.in/Orient-Electric-Apex-FX-1200mm-Ceiling/dp/B01M0505SJ/ref=sr_1_95?qid=1672923595&s=kitchen&sr=1-95
50116,01-08-2015 22:40,27-08-2015 03:37,11.0,IWKVZHJOCLPUR,Ads,Chrome,F,19,237.172.46.169,B097R45BH8,"Bajaj New Shakti Neo 15L Vertical Storage Water Heater (Geyser 15 litres) 4 Star BEE Rated Heater For Water Heating with Titanium Armour, Swirl Flow Technology, Glasslined Tank (White), 1 Yr Warranty",https://www.amazon.in/Bajaj-Shakti-Heater-Multiple-Safety/dp/B097R45BH8/ref=sr_1_30?qid=1672923592&s=kitchen&sr=1-30
360585,06-04-2015 07:35,25-05-2015 17:21,27.0,HPUCUYLMJBYFW,Ads,Opera,M,34,100.224.222.232,B0BHZCNC4P,Remote Control Compatible for Amazon Fire Tv Stick Remote Control [ 3rd Gen ](Not Compatible for Fire TV Edition Smart TV) from basesailor,https://www.amazon.in/Remote-Control-Compatible-Amazon-basesailor/dp/B0BHZCNC4P/ref=sr_1_135?qid=1672909130&s=electronics&sr=1-135
159045,21-04-2015 23:38,02-06-2015 14:01,30.0,ILXYDOZIHOOHT,SEO,IE,F,43,221.172.223.241,B01F25X6RQ,Samsung Ehs64 Ehs64Avfwecinu Hands-Free Wired In Ear Earphones With Mic With Remote Note (White),https://www.amazon.in/Samsung-Original-EHS64AVFWECINU-Stereo-Headset/dp/B01F25X6RQ/ref=sr_1_137?qid=1672895784&s=electronics&sr=1-137
182338,25-01-2015 17:49,23-03-2015 23:05,62.0,NRFFPPHZYFUVC,Ads,IE,M,31,20.93.138.243,B07DZ986Q2,"Philips EasyTouch Plus Standing Garment Steamer GC523/60 - 1600 Watt, 5 Steam Settings, Up to 32 g/min steam, with Double Pole",https://www.amazon.in/Philips-Garment-Steamer-GC523-60/dp/B07DZ986Q2/ref=sr_1_253?qid=1672923605&s=kitchen&sr=1-253
